store_name,date,review,review_check,check_length,helpful,맛,맛집,메뉴_음식,친절_직원,때,예약,가격,분위기,추천
맛보리생돼지김치두루치기,2021.09.13,"맛있어요.
3명기준 2인분+계란말이 추천",맛있어요 3명 기준 2인분 계란말이 추천,22,0,1,0,0,0,0,0,0,0,1
맛보리생돼지김치두루치기,2021.09.13,계란말이 추천합니다,계란말이 추천합니다,10,0,0,0,0,0,0,0,0,0,1
와인코르크 강남점,2022.04.23,이와인 추천으로 먹었는데 저어어엉말 맛있었어요!!^^여러가지 안주먹었는데 치즈플레이트 m 그것도 아주아주아주아주 맛있었어요 가성비가 너무좋아서 친구랑 가볍게 마시기 좋았고 안주도 저렴해서 여러가지먹어도 부담없었어요^^ 특히 직원분들이 친절하고 편한분위기여서 기분좋게 마실수 있었어요 와인추천해주시는분 계시니 물어보면서 설명들을 수 있어서 좋았고 와인잔 선택도 자유로워서 뭔가 저렴한가격으로 인생성공한느낌 빙의 가능해서 행복했습니다.^^ 위치도 신논현과 강남역사이라서 밥먹고 가볍게 술한잔하기 좋은곳같아요 헤어지고 각자 대중교통타기 편했다는!!!!! 왕추천합니다!!♡,이 와인 추천으로 먹었는데 정말 맛있었어요 웃음 여러 가지 안주 먹었는데 치즈플레이트 그것도 아주아주아주아주 맛있었어요 가성비가 너무좋아서 친구랑 가볍게 마시기 좋았고 안주도 저렴해서 여러가지먹어도 부담없었어요 웃음 특히 직원분들이 친절하고 편한분위기여서 기분좋게 마실수 있었어요 와인추천해주시는분 계시니 물어보면서 설명들을 수 있어서 좋았고 와인잔 선택도 자유로워서 뭔가 저렴한가격으로 인생성공한느낌 빙의 가능해서 행복했습니다 웃음 위치도 신논현과 강남역사이라서 밥먹고 가볍게 술한잔하기 좋은곳같아요 헤어지고 각자 대중교통타기 편했다는 왕추천합니다 하트,310,1,1,1,1,1,0,0,1,1,1
맛보리생돼지김치두루치기,2022.08.26,맛있어요,맛있어요,4,0,1,0,0,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.08.22,맛있습니다,맛있습니다,5,0,1,0,0,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.08.21,구,굿,1,0,0,0,0,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.08.11,"유연히 들어갔는데 점심 메뉴는 두루치기 하나.
집밥 느낌의 맛 계란말도 맛있어요~",우연히 들어갔는데 점심 메뉴는 두루치기 하나 집밥 느낌의 맛 계란 말이도 맛있어요,45,0,1,0,1,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.07.25,맛있어요,맛있어요,4,0,1,0,0,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.07.24,냠냠 두루치기 잘 먹었슴니다,냠냠 두루치기 잘 먹었습니다,15,0,1,0,0,0,0,0,0,0,0
맛보리생돼지김치두루치기,2022.07.14,그냥 그냥,그냥 그냥,5,0,0,0,0,0,0,0,0,0,0
